ID,Type,Description,DateReported,Status,CitizenID
1,Road Construction,visualize seamless portals,1998-01-21 13:36:23,In Progress,831
2,Electricity,enable visionary supply-chains,1998-05-15 09:08:44,Completed,933
3,Electricity,reintermediate vertical users,2002-08-27 15:11:18,Not Started,775
4,Traffic Light,morph out-of-the-box ROI,2008-10-20 19:39:07,Completed,591
5,Sewer,drive intuitive initiatives,1998-07-12 20:59:24,Completed,185
6,Road Construction,generate rich schemas,2019-02-20 06:56:47,Completed,934
7,Pipeline,leverage collaborative web-readiness,2021-06-18 05:54:52,In Progress,393
8,Road Construction,disintermediate virtual channels,2015-04-19 15:12:18,In Progress,812
9,Traffic Light,integrate seamless interfaces,2008-02-03 13:16:16,Not Started,96
10,Powerline,transition intuitive action-items,2009-07-16 18:40:11,Completed,302
11,Road Construction,embrace robust bandwidth,2006-07-08 09:54:34,Not Started,542
12,Electricity,engineer best-of-breed architectures,2005-11-25 18:39:35,Not Started,187
13,Powerline,facilitate global e-commerce,2017-05-25 09:06:59,Not Started,12
14,Road Construction,monetize strategic relationships,2013-10-26 03:52:43,In Progress,522
15,Powerline,transform wireless experiences,2012-09-21 00:16:30,In Progress,813
16,Pipeline,brand bricks-and-clicks initiatives,2021-11-04 17:05:14,Not Started,514
17,Road Construction,synthesize user-centric schemas,2009-07-02 01:48:25,Completed,796
18,Sewer,reinvent clicks-and-mortar markets,2011-01-20 09:58:20,Completed,21
19,Sewer,maximize leading-edge methodologies,2010-10-13 23:55:57,In Progress,573
20,Road Construction,orchestrate enterprise relationships,2008-07-13 04:31:45,Completed,959
21,Powerline,drive best-of-breed e-tailers,2012-04-14 09:14:36,Completed,66
22,Road Construction,innovate granular infrastructures,2023-01-11 21:09:16,Not Started,68
23,Pipeline,extend plug-and-play channels,1999-12-23 22:23:02,In Progress,455
24,Traffic Light,architect clicks-and-mortar experiences,2021-06-20 12:06:05,Not Started,53
25,Traffic Light,innovate B2C supply-chains,2024-07-03 18:06:54,Completed,969
26,Sewer,deliver sexy initiatives,2002-08-28 15:35:00,Not Started,556
27,Road Construction,orchestrate bleeding-edge ROI,2002-12-07 11:12:50,In Progress,380
28,Traffic Light,brand turn-key e-services,2003-12-22 14:05:02,Not Started,34
29,Electricity,synergize next-generation communities,2015-11-22 12:05:41,Completed,584
30,Traffic Light,target impactful models,2006-06-19 09:08:49,In Progress,374
31,Powerline,deploy rich bandwidth,2012-11-13 21:23:59,Not Started,755
32,Sewer,empower B2C metrics,2015-04-26 20:15:13,In Progress,645
33,Electricity,iterate granular partnerships,2004-06-20 19:52:20,Not Started,402
34,Powerline,synergize granular infomediaries,2000-12-13 12:19:09,Completed,324
35,Electricity,innovate robust relationships,2001-02-03 22:31:33,Not Started,278
36,Powerline,target dot-com functionalities,1999-04-01 03:57:34,Not Started,652
37,Pipeline,expedite world-class synergies,2010-08-03 07:40:22,Not Started,860
38,Powerline,reinvent plug-and-play partnerships,2012-06-06 12:47:42,Not Started,943
39,Road Construction,exploit sexy synergies,2023-10-31 05:05:45,Completed,67
40,Sewer,exploit wireless methodologies,2019-09-15 07:12:09,Completed,142
41,Pipeline,cultivate 24/365 channels,2004-12-08 04:01:35,In Progress,638
42,Pipeline,maximize integrated experiences,2003-01-27 06:08:15,In Progress,145
43,Traffic Light,orchestrate holistic architectures,2024-05-28 07:46:35,Completed,696
44,Sewer,orchestrate bleeding-edge users,2007-10-27 18:37:34,In Progress,423
45,Powerline,engineer sticky infrastructures,1999-01-25 13:55:47,Completed,849
46,Traffic Light,scale next-generation mindshare,2007-09-27 00:28:34,Not Started,822
47,Traffic Light,incentivize distributed portals,1998-11-29 11:15:14,Completed,136
48,Pipeline,grow out-of-the-box metrics,2020-03-20 05:34:34,Completed,891
49,Sewer,matrix rich web services,2018-08-16 11:52:06,Not Started,441
50,Powerline,benchmark web-enabled web services,2023-01-16 02:38:12,Completed,801
51,Road Construction,e-enable bricks-and-clicks applications,1998-12-25 09:59:01,In Progress,833
52,Powerline,aggregate plug-and-play web-readiness,2015-12-21 07:31:04,In Progress,141
53,Sewer,empower granular supply-chains,2005-03-20 04:15:50,In Progress,383
54,Powerline,enable impactful markets,2000-11-12 20:49:35,Completed,295
55,Powerline,generate killer e-tailers,2013-01-12 14:03:20,In Progress,320
56,Traffic Light,expedite web-enabled infrastructures,2014-12-24 07:45:22,In Progress,161
57,Road Construction,generate bricks-and-clicks ROI,2021-07-17 04:14:56,Not Started,277
58,Sewer,grow proactive systems,2009-10-05 10:44:47,Not Started,709
59,Pipeline,disintermediate web-enabled experiences,2015-02-14 12:42:53,Completed,325
60,Pipeline,reintermediate enterprise mindshare,2004-05-19 22:59:12,In Progress,611
61,Electricity,transform strategic vortals,1998-09-20 14:29:53,Completed,411
62,Powerline,extend mission-critical content,2006-12-20 05:39:55,In Progress,489
63,Electricity,scale ubiquitous partnerships,2004-11-18 13:26:50,Not Started,613
64,Sewer,reinvent transparent portals,2022-11-27 06:34:02,Not Started,714
65,Pipeline,synthesize cross-platform platforms,2023-01-12 14:32:31,Not Started,639
66,Pipeline,empower best-of-breed communities,2020-09-07 05:58:28,Completed,117
67,Powerline,envisioneer enterprise eyeballs,2014-11-04 23:15:45,Not Started,736
68,Traffic Light,visualize customized bandwidth,2008-03-08 22:23:35,Not Started,49
69,Sewer,target open-source e-markets,2016-09-05 18:11:19,Completed,216
70,Pipeline,morph seamless infomediaries,2021-08-02 08:54:07,In Progress,224
71,Road Construction,enable impactful niches,2021-09-30 15:42:50,In Progress,224
72,Pipeline,generate real-time supply-chains,2003-01-29 17:27:32,Completed,941
73,Sewer,repurpose revolutionary functionalities,2023-01-04 04:27:26,Completed,659
74,Pipeline,benchmark bleeding-edge schemas,2024-04-23 04:13:06,Completed,7
75,Pipeline,monetize enterprise functionalities,2009-06-19 02:35:16,In Progress,5
76,Powerline,optimize cutting-edge networks,1999-12-21 09:36:36,Completed,322
77,Pipeline,disintermediate holistic experiences,2006-03-11 07:46:04,Not Started,183
78,Sewer,exploit user-centric relationships,2001-10-15 11:39:46,In Progress,328
79,Powerline,redefine 24/365 e-services,2002-03-13 18:47:46,Not Started,922
80,Road Construction,harness plug-and-play synergies,2014-01-28 11:34:12,Not Started,840
81,Sewer,mesh robust e-business,2018-03-20 14:13:46,Completed,305
82,Powerline,orchestrate cross-platform networks,2009-04-20 04:02:45,Not Started,452
83,Road Construction,visualize distributed action-items,2015-09-30 18:07:50,Not Started,649
84,Powerline,maximize killer paradigms,1999-03-19 22:22:28,Not Started,448
85,Sewer,aggregate collaborative systems,2008-04-10 17:14:38,Completed,672
86,Traffic Light,enhance interactive infomediaries,2013-01-13 09:30:58,Not Started,378
87,Traffic Light,utilize vertical e-services,2024-06-26 21:57:00,Completed,456
88,Road Construction,transform magnetic e-tailers,1998-06-06 16:37:02,Not Started,342
89,Electricity,brand dynamic technologies,2013-05-21 08:00:59,Not Started,48
90,Powerline,monetize out-of-the-box mindshare,2015-07-25 04:45:04,Not Started,901
91,Sewer,maximize intuitive applications,2005-06-14 05:46:03,Not Started,724
92,Road Construction,utilize strategic architectures,2006-03-24 08:31:29,Not Started,525
93,Electricity,streamline robust communities,2011-10-16 01:03:51,In Progress,228
94,Sewer,transition leading-edge schemas,2012-08-26 07:26:14,Not Started,87
95,Pipeline,seize strategic networks,2005-03-29 21:39:59,Not Started,747
96,Sewer,empower interactive niches,2006-07-25 06:27:26,Not Started,638
97,Road Construction,envisioneer back-end partnerships,2019-07-10 00:01:52,Completed,617
98,Sewer,harness wireless e-services,1998-04-17 17:25:40,Not Started,48
