ID,Name,Description
1,Cabel,morph 24/7 solutions
2,Fligg,envisioneer back-end architectures
3,Gitting,evolve best-of-breed technologies
4,Wixey,extend compelling e-services
5,Eykel,recontextualize 24/7 markets
6,Lawfull,orchestrate sexy communities
7,Huburn,recontextualize impactful web services
8,Bearsmore,benchmark cross-media partnerships
9,Bouskill,aggregate virtual niches
10,Drinan,enhance proactive eyeballs
11,Deakins,seize killer e-services
12,Castle,innovate open-source mindshare
13,Cothey,expedite cross-media eyeballs
14,Sibary,facilitate enterprise partnerships
15,Joscelyne,synergize B2B relationships
16,Josham,harness end-to-end metrics
17,Bengtsson,reinvent cross-media models
18,Futcher,redefine synergistic initiatives
19,Garmanson,reinvent vertical interfaces
20,Oloman,transition turn-key e-tailers
21,Ivasyushkin,mesh extensible mindshare
22,Reggiani,monetize plug-and-play e-commerce
23,Van Merwe,unleash magnetic eyeballs
24,M'Quharge,seize B2B ROI
25,Everil,cultivate e-business technologies
26,Dayborne,architect integrated functionalities
27,Blackader,exploit seamless initiatives
28,Willavoys,repurpose scalable niches
29,Reith,deploy mission-critical schemas
30,Walls,transform integrated methodologies
31,Lawrance,drive plug-and-play solutions
32,O'Grogane,enhance revolutionary mindshare
33,Arblaster,syndicate cross-media architectures
34,Pock,expedite sexy networks
35,Borland,utilize B2B paradigms
36,Cusack,envisioneer customized web services
37,Feeney,incubate innovative mindshare
38,Telega,visualize vertical relationships
39,Rowntree,incentivize frictionless architectures
40,Heighton,morph value-added infomediaries
